Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,34.46k km  ,Petrol    ,Manual       ,"8,295/m*"  ,3.33L          ,3.15L  ,             34.46 ,         3.15 ,2014 ,     8295.0
Hyundai VENUE          ,SX 1.0 TURBO IMT                   ,38.02k km  ,Petrol    ,Manual       ,"13,783/m*" ,7.63L          ,7.05L  ,             38.02 ,         7.05 ,2021 ,    13783.0
Hyundai VENUE          ,SX 1.0 TURBO                       ,71.15k km  ,Petrol    ,Manual       ,"12,121/m*" ,6.44L          ,6.20L  ,             71.15 ,         6.2  ,2019 ,    12121.0
Hyundai VENUE          ,S 1.2                              ,28.41k km  ,Petrol    ,Manual       ,"11,535/m*" ,5.90L          ,None   ,             28.41 ,              ,2021 ,    11535.0
Hyundai Grand i10      ,MAGNA U2 1.2 CRDI                  ,50.83k km  ,Diesel    ,Manual       ,"8,213/m*"  ,4.20L          ,None   ,             50.83 ,              ,2018 ,     8213.0
Hyundai Elite i20      ,ASTA 1.2 (O)                       ,90.54k km  ,Petrol    ,Manual       ,"10,068/m*" ,5.31L          ,5.15L  ,             90.54 ,         5.15 ,2019 ,    10068.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,45.47k km  ,CNG       ,Manual       ,"10,166/m*" ,5.34L          ,5.20L  ,             45.47 ,         5.2  ,2021 ,    10166.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,40.82k km  ,Petrol    ,Manual       ,"6,896/m*"  ,3.10L          ,None   ,             40.82 ,              ,2015 ,     6896.0
Hyundai Creta          ,E PLUS 1.4 DIESEL                  ,49.97k km  ,Diesel    ,Manual       ,"14,218/m*" ,7.27L          ,None   ,             49.97 ,              ,2017 ,    14218.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,43.32k km  ,Petrol    ,Manual       ,"9,085/m*"  ,3.45L          ,None   ,             43.32 ,              ,2014 ,     9085.0
Hyundai AURA           ,SX PLUS 1.2 AMT                    ,23.94k km  ,Petrol    ,Auto         ,"10,753/m*" ,5.96L          ,5.50L  ,             23.94 ,         5.5  ,2020 ,    10753.0
Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,87.55k km  ,Petrol    ,Manual       ,"8,650/m*"  ,2.60L          ,None   ,             87.55 ,              ,2013 ,     8650.0
Hyundai Eon            ,ERA                                ,69.24k km  ,Petrol    ,Manual       ,"4,801/m*"  ,1.02L          ,None   ,             69.24 ,              ,2012 ,     4801.0
Hyundai Eon            ,ERA +                              ,34.76k km  ,Petrol    ,Manual       ,"5,602/m*"  ,1.19L          ,None   ,             34.76 ,              ,2012 ,     5602.0
Hyundai Eon            ,MAGNA +                            ,31.11k km  ,Petrol    ,Manual       ,"5,142/m*"  ,2.63L          ,None   ,             31.11 ,              ,2017 ,     5142.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,45.25k km  ,Petrol    ,Manual       ,"7,242/m*"  ,2.75L          ,None   ,             45.25 ,              ,2014 ,     7242.0
Hyundai Verna          ,FLUIDIC 4S1.6 VTVT SX AT           ,42.24k km  ,Petrol    ,Auto         ,"8,504/m*"  ,4.35L          ,None   ,             42.24 ,              ,2016 ,     8504.0
Hyundai i20            ,ASTA 1.2                           ,1.1L km    ,Petrol    ,Manual       ,"9,933/m*"  ,2.11L          ,None   ,              1.1  ,              ,2012 ,     9933.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,13.34k km  ,Petrol    ,Manual       ,"7,038/m*"  ,3.60L          ,None   ,             13.34 ,              ,2016 ,     7038.0
Hyundai i20            ,MAGNA 1.2                          ,1.5L km    ,Petrol    ,Manual       ,1.32 lakh   ,1.32L          ,None   ,              1.5  ,              ,2010 ,        1.0
Hyundai Eon            ,MAGNA +                            ,94.16k km  ,Petrol    ,Manual       ,"8,756/m*"  ,1.86L          ,None   ,             94.16 ,              ,2012 ,     8756.0
Hyundai i10            ,SPORTZ 1.2                         ,89.20k km  ,Petrol    ,Manual       ,"12,883/m*" ,1.45L          ,None   ,             89.2  ,              ,2011 ,    12883.0
Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,63.36k km  ,Diesel    ,Auto         ,"14,663/m*" ,7.50L          ,None   ,             63.36 ,              ,2017 ,    14663.0
Hyundai VENUE          ,E 1.2                              ,35.43k km  ,Petrol    ,Manual       ,"11,417/m*" ,5.84L          ,None   ,             35.43 ,              ,2020 ,    11417.0
Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,58.41k km  ,Petrol    ,Auto         ,"10,968/m*" ,5.61L          ,None   ,             58.41 ,              ,2018 ,    10968.0
Hyundai i10            ,MAGNA 1.1                          ,31.48k km  ,Petrol    ,Manual       ,"6,078/m*"  ,1.83L          ,None   ,             31.48 ,              ,2013 ,     6078.0
Hyundai i10            ,ERA 1.1                            ,60.00k km  ,Petrol    ,Manual       ,"8,944/m*"  ,1.90L          ,None   ,             60.0  ,              ,2012 ,     8944.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,59.33k km  ,Petrol    ,Manual       ,"7,058/m*"  ,3.61L          ,None   ,             59.33 ,              ,2016 ,     7058.0
Hyundai Eon            ,SPORTZ                             ,43.87k km  ,Petrol    ,Manual       ,"6,590/m*"  ,1.40L          ,None   ,             43.87 ,              ,2012 ,     6590.0
Hyundai i10            ,SPORTZ 1.1 LPG                     ,51.44k km  ,Petrol    ,Manual       ,"6,975/m*"  ,2.10L          ,None   ,             51.44 ,              ,2013 ,     6975.0
