Car_Name                    ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI              ,Price_original ,Price
2012 Hyundai i10            ,ERA 1.1                            ,60.00k km  ,Petrol    ,Manual       ,"EMI ₹8,944/m*"  ,₹1.90 lakh     ,
2016 Hyundai Elite i20      ,SPORTZ 1.2                         ,59.33k km  ,Petrol    ,Manual       ,"EMI ₹7,058/m*"  ,₹3.61 lakh     ,
2012 Hyundai Eon            ,SPORTZ                             ,43.87k km  ,Petrol    ,Manual       ,"EMI ₹6,590/m*"  ,₹1.40 lakh     ,
2013 Hyundai i10            ,SPORTZ 1.1 LPG                     ,51.44k km  ,Petrol    ,Manual       ,"EMI ₹6,975/m*"  ,₹2.10 lakh     ,
2017 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,41.45k km  ,Petrol    ,Manual       ,"EMI ₹5,784/m*"  ,₹2.60 lakh     ,
2012 Hyundai Verna          ,FLUIDIC 1.6 CRDI SX                ,90.00k km  ,Diesel    ,Manual       ,"EMI ₹20,524/m*" ,₹2.31 lakh     ,
2020 Hyundai NEW SANTRO     ,SPORTZ MT                          ,4.41k km   ,Petrol    ,Manual       ,"EMI ₹6,139/m*"  ,₹3.14 lakh     ,
2013 Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,60.00k km  ,Petrol    ,Manual       ,"EMI ₹7,141/m*"  ,₹2.15 lakh     ,
2017 Hyundai Elite i20      ,MAGNA 1.2                          ,63.90k km  ,Petrol    ,Manual       ,"EMI ₹7,331/m*"  ,₹3.75 lakh     ,
2017 Hyundai i20 Active     ,1.4 SX                             ,1.1L km    ,Diesel    ,Manual       ,"EMI ₹9,320/m*"  ,₹4.19 lakh     ,
2012 Hyundai i10            ,MAGNA 1.1                          ,17.90k km  ,Petrol    ,Manual       ,"EMI ₹11,768/m*" ,₹2.75L         ,₹2.50 lakh
2013 Hyundai i20            ,MAGNA 1.2                          ,58.70k km  ,Petrol    ,Manual       ,"EMI ₹5,979/m*"  ,₹2.25L         ,₹1.80 lakh
2021 Hyundai VENUE          ,SX 1.5 CRDI                        ,45.52k km  ,Diesel    ,Manual       ,"EMI ₹15,836/m*" ,₹8.32 lakh     ,
2011 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,82.16k km  ,Petrol    ,Manual       ,"EMI ₹13,327/m*" ,₹1.50 lakh     ,
